3/12/2014|Mortgage|Other mortgage|Loan modification,collection,foreclosure|null|M&T BANK CORPORATION|MI|48382|null|N/A|Referral|3/17/2014|Closed with explanation|Yes|No|759217
10/1/2016|Credit reporting|null|Incorrect information on credit report|Account status|TRANSUNION INTERMEDIATE HOLDINGS, INC.|AL|352XX|null|Consent provided|Web|10/5/2016|Closed with explanation|Yes|No|2141773
10/17/2016|Consumer Loan|Vehicle loan|Managing the loan or lease|null|CITIZENS FINANCIAL GROUP, INC.|PA|177XX|Older American|Consent provided|Web|10/20/2016|Closed with explanation|Yes|No|2163100
6/8/2014|Credit card|null|Bankruptcy|null|AMERICAN EXPRESS COMPANY|ID|83854|Older American|N/A|Web|6/10/2014|Closed with explanation|Yes|Yes|885638
9/13/2014|Debt collection|Credit card|Communication tactics|Frequent or repeated calls|CITIBANK, N.A.|VA|23233|null|N/A|Web|9/13/2014|Closed with explanation|Yes|Yes|1027760
11/13/2013|Mortgage|Conventional adjustable mortgage (ARM)|Loan servicing, payments, escrow account|null|U.S. BANCORP|MN|48322|null|N/A|Phone|11/20/2013|Closed with monetary relief|Yes|No|596562
6/16/2015|Debt collection|Medical|Improper contact or sharing of info|Contacted employer after asked not to|California Accounts Service|CA|92111|null|Consent not provided|Web|6/19/2015|Closed with explanation|Yes|No|1422680
6/15/2015|Credit reporting|null|Credit reporting company's investigation|Inadequate help over the phone|Experian Information Solutions Inc.|VA|224XX|null|Consent provided|Web|6/15/2015|Closed with explanation|Yes|No|1420702
11/13/2015|Mortgage|Other mortgage|Loan modification,collection,foreclosure|null|Aldridge Pite, LLP|CA|93101|null|N/A|Referral|12/10/2015|Closed with explanation|Yes|Yes|1654890
10/21/2014|Mortgage|Conventional fixed mortgage|Loan modification,collection,foreclosure|null|OCWEN LOAN SERVICING LLC|FL|32714|Older American|N/A|Web|10/21/2014|Closed with explanation|Yes|No|1079567
