0|Christine S|4|4|4.6.9|2020-05-29 18:56:28|2020-05-30 05:36:53|most_relevant|com.sevencupsoftea.app
1|Charan Reddy|5|0|4.6.9|2020-06-04 19:11:31|2020-06-05 11:05:39|most_relevant|com.sevencupsoftea.app
2|ZigzagTundra|2|4|4.6.9|2020-06-02 12:12:47|2020-06-03 05:54:36|most_relevant|com.sevencupsoftea.app
3|Castrated Walrus|4|4|4.6.9|2020-05-30 10:02:04|2020-05-30 22:18:52|most_relevant|com.sevencupsoftea.app
4|Hello There|4|0|4.6.9|2020-06-06 07:36:27|2020-06-06 08:59:29|most_relevant|com.sevencupsoftea.app
5|Madison Farr|5|1|4.6.9|2020-06-01 03:33:06|2020-06-01 09:22:20|most_relevant|com.sevencupsoftea.app
6|Dunkey Indra|3|1|4.6.9|2020-06-01 04:05:35|2020-06-01 09:22:45|most_relevant|com.sevencupsoftea.app
7|Sam Regalia|1|14|4.6.9|2020-05-17 17:12:50|2020-05-19 09:07:53|most_relevant|com.sevencupsoftea.app
8|Jennifer Bradshaw|2|0|4.6.9|2020-06-05 21:24:48|2020-06-06 08:58:55|most_relevant|com.sevencupsoftea.app
9|Sk GL|5|0|4.6.9|2020-06-02 01:49:37|2020-06-02 09:14:28|most_relevant|com.sevencupsoftea.app
10|Jallasain|5|1|4.6.9|2020-05-29 18:11:01|2020-05-30 05:35:59|most_relevant|com.sevencupsoftea.app
11|Kalie May|4|0|4.6.9|2020-06-04 06:18:43|2020-06-04 08:49:50|most_relevant|com.sevencupsoftea.app
12|Jennelle Henderson|4|0|4.6.9|2020-05-31 09:26:28|2020-06-01 09:19:26|most_relevant|com.sevencupsoftea.app
13|Aleksander Thoresen|5|1|4.6.9|2020-06-03 11:01:33|2020-06-04 08:50:46|most_relevant|com.sevencupsoftea.app
14|Autumn Robinson|1|2|4.6.9|2020-05-21 22:09:41|2020-05-22 13:08:33|most_relevant|com.sevencupsoftea.app
15|Kathleen Chan|1|3|4.6.9|2020-05-24 19:02:53|2020-05-25 07:10:39|most_relevant|com.sevencupsoftea.app
16|Renee M|3|6|4.6.9|2020-05-21 08:18:14|2020-05-21 13:16:10|most_relevant|com.sevencupsoftea.app
17|B|1|0|4.6.9|2020-06-04 16:58:52|2020-06-05 11:04:27|most_relevant|com.sevencupsoftea.app
18|Lokie Doll|1|3|4.6.9|2020-05-21 06:09:07|2020-05-21 13:16:26|most_relevant|com.sevencupsoftea.app
19|Lalit Nebhani|1|3|4.6.9|2020-05-15 11:42:21|2020-05-16 11:26:32|most_relevant|com.sevencupsoftea.app
20|Chantea' Roberts|5|3|4.6.9|2020-05-19 04:02:14|2020-05-19 09:09:40|most_relevant|com.sevencupsoftea.app
21|Muhammad Ahsan|4|0|4.6.9|2020-06-05 10:45:26|2020-06-05 11:08:03|most_relevant|com.sevencupsoftea.app
22|AP 779|1|1|4.6.9|2020-05-31 13:02:41|2020-06-01 09:20:45|most_relevant|com.sevencupsoftea.app
23|Ally Swift|5|0|4.6.9|2020-06-04 22:28:57|2020-06-05 11:06:27|most_relevant|com.sevencupsoftea.app
24|apoorv sharma|1|0|4.6.9|2020-05-27 06:03:19|2020-05-28 03:12:23|most_relevant|com.sevencupsoftea.app
25|Koustubh Sahu|5|0|4.6.9|2020-05-21 18:03:46|2020-05-22 13:13:02|most_relevant|com.sevencupsoftea.app
26|Amberlie Lane|5|0|4.6.9|2020-05-20 18:08:14|2020-05-21 13:16:51|most_relevant|com.sevencupsoftea.app
27|El Van Houten|5|1|4.6.9|2020-05-29 19:40:52|2020-05-30 05:37:07|most_relevant|com.sevencupsoftea.app
28|Ahmad Darweesh|3|0|4.6.9|2020-05-21 13:32:31|2020-05-22 13:18:38|most_relevant|com.sevencupsoftea.app
29|Anna Kierbedź|4|0|4.6.8|2020-05-30 07:27:49|2020-05-30 22:17:17|most_relevant|com.sevencupsoftea.app
30|Jamie WYET ZOKENIE|5|0|4.6.9|2020-05-18 14:13:20|2020-05-19 09:08:44|most_relevant|com.sevencupsoftea.app
31|Pri S|5|1|4.6.9|2020-05-22 11:37:55|2020-05-22 13:05:30|most_relevant|com.sevencupsoftea.app
32|Dee Cee|2|4|4.6.8|2020-05-12 15:32:25|2020-05-13 11:00:05|most_relevant|com.sevencupsoftea.app
33|Eslam Elgendy|4|0|4.6.8|2020-05-14 02:22:24|2020-05-14 11:25:06|most_relevant|com.sevencupsoftea.app
