S29198800001|11/20/2015|2191|Keokuk Spirits|1013 MAIN|KEOKUK|52632|56|Lee|null|null|255|Wilson Daniels Ltd.|297|6|750|$18.09|$27.14|6|$162.84|4.50|1.19
S29195400002|11/21/2015|2205|Ding's Honk And Holler|900 E WASHINGTON|CLARINDA|51632|73|Page|null|null|255|Wilson Daniels Ltd.|297|6|750|$18.09|$27.14|12|$325.68|9.00|2.38
S29050300001|11/16/2015|3549|Quicker Liquor Store|1414 48TH ST|FORT MADISON|52627|56|Lee|null|null|130|Disaronno International LLC|249|20|150|$6.40|$9.60|2|$19.20|0.30|0.08
S28867700001|11/04/2015|2513|Hy-Vee Food Store #2 / Iowa City|812  S 1ST AVE|IOWA CITY|52240|52|Johnson|null|null|65|Jim Beam Brands|237|3|1750|$35.55|$53.34|3|$160.02|5.25|1.39
S29050800001|11/17/2015|3942|Twin Town Liquor|104 HIGHWAY 30 WEST|TOLEDO|52342|86|Tama|null|null|130|Disaronno International LLC|249|20|150|$6.40|$9.60|2|$19.20|0.30|0.08
S28869200001|11/11/2015|3650|Spirits, Stogies and Stuff|118 South Main St.|HOLSTEIN|51025|47|Ida|null|null|65|Jim Beam Brands|237|3|1750|$35.55|$53.34|1|$53.34|1.75|0.46
S28865700001|11/09/2015|2538|Hy-Vee Food Store #3 / Waterloo|1422 FLAMMANG DR|WATERLOO|50702|07|Black Hawk|1701100|DECANTERS & SPECIALTY PACKAGES|962|Duggan's Distillers Products Corp|238|6|1500|$11.62|$17.43|6|$104.58|9.00|2.38
S28869500001|11/10/2015|3942|Twin Town Liquor|104 HIGHWAY 30 WEST|TOLEDO|52342|86|Tama|null|null|65|Jim Beam Brands|237|3|1750|$35.55|$53.34|2|$106.68|3.50|0.92
S29339300091|11/30/2015|2662|Hy-Vee Wine & Spirits / Muscatine|522 MULBERRY, SUITE A|MUSCATINE|52761|70|Muscatine|1701100|DECANTERS & SPECIALTY PACKAGES|65|Jim Beam Brands|173|12|750|$19.58|$29.37|4|$117.48|3.00|0.79
S29050900001|11/16/2015|4307|Crossroads Wine and Liquor|117 IOWA AVE|DUNLAP|712-2|43|Harrison|null|null|130|Disaronno International LLC|249|20|150|$6.40|$9.60|2|$19.20|0.30|0.08
S29049900001|11/17/2015|2661|Hy-Vee Food Store / Sheldon|1989 PARK ST|SHELDON|51201|71|O'Brien|null|null|130|Disaronno International LLC|249|20|150|$6.40|$9.60|20|$192.00|3.00|0.79
S28868200001|11/05/2015|2561|Hy-Vee Food Store / Fleur / DSM|4605 FLEUR DRIVE|DES MOINES|50321|77|Polk|null|null|65|Jim Beam Brands|237|3|1750|$35.55|$53.34|2|$106.68|3.50|0.92
S28869600001|11/09/2015|4114|After 5 Somewhere|704 W 7TH ST PO BOX 372|ATLANTIC|50022|15|Cass|null|null|65|Jim Beam Brands|237|3|1750|$35.55|$53.34|3|$160.02|5.25|1.39
S28866900001|11/11/2015|3650|Spirits, Stogies and Stuff|118 South Main St.|HOLSTEIN|51025|47|Ida|1701100|DECANTERS & SPECIALTY PACKAGES|962|Duggan's Distillers Products Corp|238|6|1500|$11.62|$17.43|1|$17.43|1.50|0.40
S29050100001|11/19/2015|2806|Osco #881 / Clinton|1307 N SECOND|CLINTON|52732|23|Clinton|null|null|130|Disaronno International LLC|249|20|150|$6.40|$9.60|20|$192.00|3.00|0.79
S29049600001|11/17/2015|2624|Hy-Vee #2 / Dubuque|2395 NW ARTERIAL RD|DUBUQUE|52002|31|Dubuque|null|null|130|Disaronno International LLC|249|20|150|$6.40|$9.60|20|$192.00|3.00|0.79
S28868400001|11/04/2015|2572|Hy-Vee Food Store / Cedar Falls|6301 UNIVERSITY|CEDAR FALLS|50613|07|Black Hawk|null|null|65|Jim Beam Brands|237|3|1750|$35.55|$53.34|3|$160.02|5.25|1.39
S29196300002|11/24/2015|2595|Hy-Vee Wine and Spirits / Denison|1620  4TH AVE, SOUTH|DENISON|51442|24|Crawford|null|null|255|Wilson Daniels Ltd.|297|6|750|$18.09|$27.14|6|$162.84|4.50|1.19
S29134300126|11/18/2015|3723|J D Spirits Liquor|1023  9TH ST|ONAWA|51040|67|Monona|1081200|CREAM LIQUEURS|305|MHW Ltd|258|1|6000|$99.00|$148.50|1|$148.50|6.00|1.59
S28869000001|11/10/2015|2665|Hy-Vee / Waukee|1005 E HICKMAN RD|WAUKEE|50263|25|Dallas|null|null|65|Jim Beam Brands|237|3|1750|$35.55|$53.34|2|$106.68|3.50|0.92
S29198700002|11/24/2015|5093|Cody Mart|1220 N CODY RD|LE CLAIRE|52753|82|Scott|null|null|255|Wilson Daniels Ltd.|297|6|750|$18.09|$27.14|3|$81.42|2.25|0.59
S29282800048|11/23/2015|2642|Hy-Vee Wine and Spirits / Pella|512 E OSKALOOSA|PELLA|50219|63|Marion|1701100|DECANTERS & SPECIALTY PACKAGES|962|Duggan's Distillers Products Corp|238|6|1500|$11.62|$17.43|6|$104.58|9.00|2.38
S28868000001|11/04/2015|2548|Hy-Vee Food Store / Altoona|100 8TH STREET SW|ALTOONA|50009|77|Polk|null|null|65|Jim Beam Brands|237|3|1750|$35.55|$53.34|3|$160.02|5.25|1.39
S29199600001|11/20/2015|2558|Hy-Vee Food Store / Mount Pleasant|1700 E WASHINGTON|MOUNT PLEASANT|52641|44|Henry|null|null|255|Wilson Daniels Ltd.|297|6|750|$18.09|$27.14|18|$488.52|13.50|3.57
S29050500001|11/18/2015|3735|C B Liquor|1202 A AVE EAST|OSKALOOSA|52577|10|Buchanan|null|null|130|Disaronno International LLC|249|20|150|$6.40|$9.60|3|$28.80|0.45|0.12
S28867000001|11/04/2015|3842|Bancroft Liquor Store|107 N PORTLAND ST PO BX 222|BANCROFT|50517|55|Kossuth|1701100|DECANTERS & SPECIALTY PACKAGES|962|Duggan's Distillers Products Corp|238|6|1500|$11.62|$17.43|3|$52.29|4.50|1.19
S28868600001|11/09/2015|2650|Hy-Vee Wine and Spirits / Harlan|1808 23RD ST|HARLAN|51537|83|Shelby|null|null|65|Jim Beam Brands|237|3|1750|$35.55|$53.34|3|$160.02|5.25|1.39
S28869100001|11/10/2015|2666|Hy-Vee #2 / Ankeny|2510 SW STATE ST|ANKENY|50023|77|Polk|null|null|65|Jim Beam Brands|237|3|1750|$35.55|$53.34|3|$160.02|5.25|1.39
S29197900002|11/23/2015|3842|Bancroft Liquor Store|107 N PORTLAND ST PO BX 222|BANCROFT|50517|55|Kossuth|null|null|255|Wilson Daniels Ltd.|297|6|750|$18.09|$27.14|18|$488.52|13.50|3.57
S28865800001|11/09/2015|2539|Hy-Vee Food Store / iowa Falls|HIGHWAY 65 SOUTH|IOWA FALLS|50126|42|Hardin|1701100|DECANTERS & SPECIALTY PACKAGES|962|Duggan's Distillers Products Corp|238|6|1500|$11.62|$17.43|6|$104.58|9.00|2.38
S28868700001|11/10/2015|2651|Hy-Vee / Waverly|1311 4 STREET SW|WAVERLY|50677|09|Bremer|null|null|65|Jim Beam Brands|237|3|1750|$35.55|$53.34|2|$106.68|3.50|0.92
S29050000001|11/17/2015|2666|Hy-Vee #2 / Ankeny|2510 SW STATE ST|ANKENY|50023|77|Polk|null|null|130|Disaronno International LLC|249|20|150|$6.40|$9.60|20|$192.00|3.00|0.79
S29198100002|11/23/2015|4162|Fareway Stores #963 / Cedar Rapids|4220  16TH AVE SW|CEDAR RAPIDS|52404|57|Linn|null|null|255|Wilson Daniels Ltd.|297|6|750|$18.09|$27.14|6|$162.84|4.50|1.19
S29195800002|11/21/2015|2552|Hy-Vee Food Store #3 / Cedar Rapids|20 WILSON AVENUE WEST|CEDAR RAPIDS|52404|57|Linn|null|null|255|Wilson Daniels Ltd.|297|6|750|$18.09|$27.14|90|$2442.60|67.50|17.83
S29197800002|11/23/2015|3650|Spirits, Stogies and Stuff|118 South Main St.|HOLSTEIN|51025|47|Ida|null|null|255|Wilson Daniels Ltd.|297|6|750|$18.09|$27.14|18|$488.52|13.50|3.57
S29049100001|11/16/2015|2538|Hy-Vee Food Store #3 / Waterloo|1422 FLAMMANG DR|WATERLOO|50702|07|Black Hawk|null|null|130|Disaronno International LLC|249|20|150|$6.40|$9.60|40|$384.00|6.00|1.59
S29049500001|11/18/2015|2594|Hy-Vee Food Store / Sioux City|4500 SERGEANT ROAD|SIOUX CITY|51106|97|Woodbury|null|null|130|Disaronno International LLC|249|20|150|$6.40|$9.60|20|$192.00|3.00|0.79
S29051000001|11/19/2015|4988|Happy's Wine & Spirits|5925 UNIVERSITY AVE|CEDAR FALLS|50613|07|Black Hawk|null|null|130|Disaronno International LLC|249|20|150|$6.40|$9.60|20|$192.00|3.00|0.79
S28867100001|11/09/2015|4604|Pit Stop Liquors / Newton|1324, 1st AVE E|NEWTON|50208|50|Jasper|1701100|DECANTERS & SPECIALTY PACKAGES|962|Duggan's Distillers Products Corp|238|6|1500|$11.62|$17.43|2|$34.86|3.00|0.79
S29049800001|11/16/2015|2643|Hy-Vee Wine and Spirits / Waterloo|2126 KIMBALL AVE|WATERLOO|50701|07|Black Hawk|null|null|130|Disaronno International LLC|249|20|150|$6.40|$9.60|20|$192.00|3.00|0.79
S29049200001|11/17/2015|2544|Hy-Vee Food Store / Marshalltown|802 SOUTH CENTER|MARSHALLTOWN|50158|64|Marshall|null|null|130|Disaronno International LLC|249|20|150|$6.40|$9.60|20|$192.00|3.00|0.79
S29196500002|11/21/2015|2607|Hy-Vee Wine and Spirits / Shenandoah|520 SO FREMONT|SHENANDOAH|51601|73|Page|null|null|255|Wilson Daniels Ltd.|297|6|750|$18.09|$27.14|30|$814.20|22.50|5.94
S29191200001|11/19/2015|2248|Ingersoll Liquor and Beverage|3500 INGERSOLL AVE|DES MOINES|50312|77|Polk|1701100|DECANTERS & SPECIALTY PACKAGES|65|Jim Beam Brands|173|12|750|$19.58|$29.37|36|$1057.32|27.00|7.13
S29050600001|11/17/2015|3813|CGI Foods|104 NORTH FILLMORE|MOUNT AYR|50854|80|Ringgold|null|null|130|Disaronno International LLC|249|20|150|$6.40|$9.60|6|$57.60|0.90|0.24
S29199300001|11/20/2015|2539|Hy-Vee Food Store / iowa Falls|HIGHWAY 65 SOUTH|IOWA FALLS|50126|42|Hardin|null|null|255|Wilson Daniels Ltd.|297|6|750|$18.09|$27.14|12|$325.68|9.00|2.38
S29197300002|11/21/2015|3443|Super Saver Iv|1141 N BROADWAY|COUNCIL BLUFFS|51503|78|Pottawattamie|null|null|255|Wilson Daniels Ltd.|297|6|750|$18.09|$27.14|6|$162.84|4.50|1.19
S28868900001|11/10/2015|2661|Hy-Vee Food Store / Sheldon|1989 PARK ST|SHELDON|51201|71|O'Brien|null|null|65|Jim Beam Brands|237|3|1750|$35.55|$53.34|3|$160.02|5.25|1.39
S29197500002|11/20/2015|3525|Wines and Spirits|106 W 2ND ST|WASHINGTON|52353|92|Washington|null|null|255|Wilson Daniels Ltd.|297|6|750|$18.09|$27.14|6|$162.84|4.50|1.19
S29049300001|11/19/2015|2567|Hy-Vee Drugstore / Davenport|2200 WEST KIMBERLY|DAVENPORT|52806|82|Scott|null|null|130|Disaronno International LLC|249|20|150|$6.40|$9.60|6|$57.60|0.90|0.24
S29196200002|11/20/2015|2591|Hy-Vee Wine and Spirits / Atlantic|1602 E. 7TH ST.|ATLANTIC|50022|15|Cass|null|null|255|Wilson Daniels Ltd.|297|6|750|$18.09|$27.14|24|$651.36|18.00|4.76
S29137200001|11/18/2015|2566|Hy-Vee Food Store / Knoxville|813 N LINCOLN STE 1|KNOXVILLE|50138|63|Marion|1701100|DECANTERS & SPECIALTY PACKAGES|962|Duggan's Distillers Products Corp|238|6|1500|$11.62|$17.43|12|$209.16|18.00|4.76
S29199400001|11/21/2015|2544|Hy-Vee Food Store / Marshalltown|802 SOUTH CENTER|MARSHALLTOWN|50158|64|Marshall|null|null|255|Wilson Daniels Ltd.|297|6|750|$18.09|$27.14|6|$162.84|4.50|1.19
S29161800004|11/18/2015|2622|Hy-Vee Food Store / Iowa City|1125 N DODGE ST|IOWA CITY|52240|52|Johnson|1081200|CREAM LIQUEURS|305|MHW Ltd|258|1|6000|$99.00|$148.50|1|$148.50|6.00|1.59
S29082800001|11/16/2015|2573|Hy-Vee Food Store / Muscatine|2400 2ND AVE|MUSCATINE|52761|70|Muscatine|1081200|CREAM LIQUEURS|305|MHW Ltd|258|1|6000|$99.00|$148.50|1|$148.50|6.00|1.59
S29198200002|11/21/2015|4311|Fareway Stores #508 / Fort Dodge|1231  1ST AVE S|FORT DODGE|50501|94|Webster|null|null|255|Wilson Daniels Ltd.|297|6|750|$18.09|$27.14|2|$54.28|1.50|0.40
S28869900001|11/09/2015|5001|The Music Station / Independence|709 FIRST ST W|INDEPENDENCE|50644|10|Buchanan|null|null|65|Jim Beam Brands|237|3|1750|$35.55|$53.34|3|$160.02|5.25|1.39
S29331500076|11/30/2015|4152|Food Land Super Markets / Missouri V|407 W HURON|MISSOURI VALLEY|51555|43|Harrison|1701100|DECANTERS & SPECIALTY PACKAGES|65|Jim Beam Brands|173|12|750|$19.58|$29.37|1|$29.37|0.75|0.20
S28868500001|11/12/2015|2627|Hy-Vee Wine and Spirits #1|3424 MARTIN LUTHER KING JR PKW|DES MOINES|50310|77|Polk|null|null|65|Jim Beam Brands|237|3|1750|$35.55|$53.34|2|$106.68|3.50|0.92
